epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,7962.65,0.95951,0.68032,1.19239,0.84663,0.76292,0.82074,0.52696,1.16855,0.70023,1.3223,0.0003268,0.0003268,0.0003268
70,8073.29,0.95219,0.6806,1.19183,0.83947,0.76997,0.82052,0.52938,1.16033,0.69378,1.32083,0.0003169,0.0003169,0.0003169
71,8184.27,0.94791,0.6786,1.19396,0.84632,0.76554,0.82415,0.53191,1.16675,0.69759,1.32135,0.000307,0.000307,0.000307
72,8302.63,0.94076,0.66862,1.18707,0.84675,0.76136,0.82462,0.53451,1.15905,0.6902,1.32096,0.0002971,0.0002971,0.0002971
73,8414.91,0.9352,0.66728,1.17966,0.83632,0.77069,0.82249,0.53044,1.16469,0.69377,1.3243,0.0002872,0.0002872,0.0002872
74,8524.81,0.92995,0.66951,1.18348,0.8523,0.76442,0.82538,0.53498,1.15916,0.68107,1.32143,0.0002773,0.0002773,0.0002773
75,8637.88,0.91519,0.66097,1.17543,0.85459,0.76598,0.82731,0.53887,1.15171,0.68348,1.31213,0.0002674,0.0002674,0.0002674
76,8748.53,0.91799,0.65061,1.17513,0.84604,0.77632,0.83075,0.5377,1.14883,0.67493,1.30993,0.0002575,0.0002575,0.0002575
77,8859.72,0.92297,0.66158,1.17744,0.85365,0.77577,0.82989,0.54097,1.14265,0.66246,1.31205,0.0002476,0.0002476,0.0002476
78,8969.98,0.90622,0.64141,1.16343,0.85629,0.7598,0.82757,0.53871,1.15169,0.6847,1.31397,0.0002377,0.0002377,0.0002377
79,9084.55,0.89832,0.64137,1.16318,0.84745,0.77984,0.83372,0.54447,1.14064,0.66731,1.31228,0.0002278,0.0002278,0.0002278
80,9197.63,0.88994,0.62422,1.15132,0.85011,0.76881,0.82702,0.54193,1.13964,0.67288,1.30857,0.0002179,0.0002179,0.0002179
81,9307.66,0.89068,0.64066,1.1608,0.85616,0.77095,0.82982,0.54296,1.1369,0.66859,1.30891,0.000208,0.000208,0.000208
82,9417.86,0.88453,0.62741,1.1483,0.85012,0.7766,0.83196,0.54759,1.12982,0.66103,1.30526,0.0001981,0.0001981,0.0001981
83,9528.6,0.88061,0.62131,1.15212,0.85654,0.77135,0.83586,0.54786,1.13082,0.65792,1.30059,0.0001882,0.0001882,0.0001882
84,9643.13,0.87242,0.61703,1.14509,0.84903,0.78058,0.83665,0.54824,1.13726,0.6666,1.31285,0.0001783,0.0001783,0.0001783
85,9763.1,0.86299,0.61214,1.14774,0.8546,0.77498,0.83401,0.54597,1.13642,0.66831,1.31534,0.0001684,0.0001684,0.0001684
86,9879.4,0.8582,0.609,1.13207,0.85363,0.77546,0.83417,0.54829,1.1266,0.65696,1.30664,0.0001585,0.0001585,0.0001585
87,9991.7,0.86092,0.60638,1.14487,0.86391,0.76589,0.83405,0.55067,1.12433,0.65966,1.30547,0.0001486,0.0001486,0.0001486
88,10113.8,0.84937,0.59685,1.13132,0.86773,0.76943,0.83565,0.5509,1.12123,0.65871,1.30721,0.0001387,0.0001387,0.0001387
89,10224.6,0.84207,0.59224,1.13083,0.86315,0.7798,0.83727,0.55316,1.11898,0.64778,1.3097,0.0001288,0.0001288,0.0001288
